,okved,cluster
1198,OR4A12P,30
1199,MIR3689F,153
1200,FOXL3-OT1,173
1201,SPRR2D,183
1202,CTAGE6,156
1203,MAGEA6,208
1204,H2BC9,122
1205,LUNAR1,143
1206,MIR6766,128
1207,USP17L8,311
1208,MSANTD5,230
1209,TRBV10-1,26
1210,OR1M4P,102
1211,TRBV11-3,175
1212,TRAV29DV5,16
1213,MIR7106,52
1214,MIR6824,223
1215,GOLGA8Q,18
1216,FAM236B,211
1217,TAS2R30,271
1218,OR4A40P,125
1219,CERNA2,41
1220,MIR3157,180
1221,OR7E111P,185
1222,FAM90A7,96
1223,IGLV3-9,82
1224,PCDHB10,121
1225,MIR6741,32
1226,OR6C5P,2
1227,MIR4776-2,51
1228,PRAMEF5,187
1229,MIR3667,147
1230,MIR3168,173
1231,LCE2C,227
1232,MIR6895,95
1233,MYOPARR,286
1234,MIR548S,91
1235,PCDHGB2,25
1236,TRAV27,175
1237,OR2N1P,232
1238,DUX4L7,70
1239,TRDJ1,38
1240,IGLV1-51,24
1241,TRDD3,38
1242,OR7E85P,46
1243,ZNF761,222
1244,TRBV7-6,26
1245,H3P4,166
1246,MIR451B,71
1247,NPIPB13,240
