okved,cluster
GJA10,Singleton
PRR30,Singleton
KRTAP3-1,Singleton
BANF2,Singleton
ANKRD62,Singleton
RBMY1A1,Singleton
ASIC5,Singleton
SSX2B,Singleton
KRTAP3-2,Singleton
CGB3,Singleton
MSGN1,Singleton
ST20-MTHFS,Singleton
TMEM265,Singleton
CCDC188,Singleton
ACTL9,Singleton
OC90,Singleton
DRGX,Singleton
RNASE12,Singleton
OR2A4,Singleton
FAM24A,Singleton
DAZ1,Singleton
PSKH2,Singleton
TECTB,Singleton
BOD1L2,Singleton
CGB5,Singleton
MRGPRD,Singleton
TRIM43B,Singleton
KRTAP4-8,Singleton
BLID,Singleton
DAZ2,Singleton
MRGPRX3,Singleton
DEFB132,Singleton
ZNF705D,Singleton
TGM7,Singleton
LRRC30,Singleton
GPR152,Singleton
TOPAZ1,Singleton
XAGE3,Singleton
KRTAP10-9,Singleton
XAGE1B,Singleton
SAXO1,Singleton
BPIFA2,Singleton
GLT6D1,Singleton
RNF113B,Singleton
LCN6,Singleton
CBY3,Singleton
KRT26,Singleton
CSAG1,Singleton
ARSH,Singleton
ASB17,Singleton
PATE2,Singleton
HSFY2,Singleton
SLC22A24,Singleton
URAD,Singleton
SSX4,Singleton
RTP2,Singleton
GOLGA8F,Singleton
OR51B5,Singleton
SULT6B1,Singleton
NBPF4,Singleton
DAZ4,Singleton
GPR33,Singleton
LYZL2,Singleton
GAB4,Singleton
DYTN,Singleton
SCP2D1,Singleton
OR8A1,Singleton
OTOL1,Singleton
NBPF6,Singleton
TMCO2,Singleton
KRT82,Singleton
MCCD1,Singleton
CGB8,Singleton
CEACAM18,Singleton
DCANP1,Singleton
BECN2,Singleton
SPATA31D4,Singleton
TMEM207,Singleton
TERB1,Singleton
FTHL17,Singleton
SPANXA1,Singleton
VCX3A,Singleton
LRRC3C,Singleton
PRSS54,Singleton
TEX38,Singleton
HTR3C,Singleton
OBP2B,Singleton
OR51B4,Singleton
DEFB129,Singleton
PAGE5,Singleton
TBC1D3L,Singleton
WFDC13,Singleton
TMEM202,Singleton
TRB,Singleton
PPIAL4D,Singleton
DUXA,Singleton
OOSP1,Singleton
C1QTNF8,Singleton
FAM187A,Singleton
CBLL2,Singleton
MAGEA2B,Singleton
KRTAP4-9,Singleton
TRIM43,Singleton
RBMXL3,Singleton
IQCF1,Singleton
OOSP2,Singleton
KRTAP5-3,Singleton
KRTAP8-1,Singleton
FOXD4L4,Singleton
DAZ3,Singleton
ANKRD60,Singleton
PRAMEF1,Singleton
CSAG3,Singleton
TBC1D3G,Singleton
CFC1B,Singleton
TAS2R39,Singleton
FABP9,Singleton
KRTAP17-1,Singleton
SPACA7,Singleton
OR8G5,Singleton
PRSS38,Singleton
POTEB,Singleton
ZCCHC13,Singleton
FOXD4L5,Singleton
TMEM239,Singleton
URGCP-MRPS24,Singleton
NCBP2L,Singleton
SPATA31C2,Singleton
LGTN,Singleton
CCER1,Singleton
GOLGA6L2,Singleton
OR1L6,Singleton
KRTAP5-5,Singleton
PIWIL3,Singleton
XKR3,Singleton
TMEM95,Singleton
CLEC2A,Singleton
CST11,Singleton
GFRAL,Singleton
SPATA31D1,Singleton
GGTLC3,Singleton
FOXD4L3,Singleton
XAGE2,Singleton
OR51I2,Singleton
MAGEB18,Singleton
KRT39,Singleton
SPANXD,Singleton
FXYD6-FXYD2,Singleton
KRTAP9-2,Singleton
WFDC9,Singleton
TAS2R60,Singleton
PRR32,Singleton
KRTAP4-1,Singleton
CATSPERZ,Singleton
TOMT,Singleton
FRG2,Singleton
ITIH6,Singleton
TPRX1,Singleton
MAS1L,Singleton
OR10A5,Singleton
TEX37,Singleton
OR51M1,Singleton
SCGB1C2,Singleton
KRTAP10-4,Singleton
OR4D9,Singleton
FDCSP,Singleton
OR52D1,Singleton
TP53TG3,Singleton
UGT2A2,Singleton
CCDC200,Singleton
SPATA31E1,Singleton
SPATA31A1,Singleton
KRTAP4-6,Singleton
XAGE1A,Singleton
TAAR9,Singleton
IZUMO1R,Singleton
RNASE9,Singleton
BPIFB4,Singleton
MAGEA9,Singleton
OR51V1,Singleton
DCAF8L2,Singleton
TAAR6,Singleton
SCGB1D4,Singleton
OR10R2,Singleton
KRTAP9-3,Singleton
CCDC105,Singleton
RGS21,Singleton
KRTAP9-6,Singleton
PRSS58,Singleton
OR10A4,Singleton
RNASE13,Singleton
EFCAB9,Singleton
RHOXF2B,Singleton
KRTAP3-3,Singleton
CSTL1,Singleton
KRTAP13-1,Singleton
KRTAP11-1,Singleton
ACTRT1,Singleton
DEFB114,Singleton
DEFB119,Singleton
AADACL4,Singleton
MBD3L3,Singleton
OR1N2,Singleton
TAS2R42,Singleton
MROH9,Singleton
KRTAP4-2,Singleton
FAM9A,Singleton
OR8B8,Singleton
KRTAP19-1,Singleton
OR10K1,Singleton
STPG3,Singleton
HTR3E,Singleton
OR6S1,Singleton
OR2K2,Singleton
TP53TG3B,Singleton
OR2D2,Singleton
POTEA,Singleton
KRTAP4-12,Singleton
PRR27,Singleton
ZNF679,Singleton
BAGE4,Singleton
WFDC11,Singleton
KRTAP21-1,Singleton
OR5V1,Singleton
OR1L4,Singleton
KRTAP19-3,Singleton
